"fold","k_folds","fold_seed","enet_acc","knn_acc","ensemble_acc"
1,3,123,0.538062283737024,0.535755478662053,0.546136101499423
2,3,123,0.533756491633006,0.552798615118292,0.559145989613387
3,3,123,0.525707683419988,0.546504910456384,0.56210283073368
1,3,456,0.531141868512111,0.544405997693195,0.557093425605536
2,3,456,0.543616406701329,0.548238012709417,0.56210283073368
3,3,456,0.525678015002885,0.545874206578188,0.549913444893249
1,3,789,0.528290993071594,0.554272517321016,0.568129330254042
2,3,789,0.537485582468281,0.547289504036909,0.553056516724337
3,3,789,0.536374133949192,0.552540415704388,0.557736720554272
1,3,2024,0.54445727482679,0.52540415704388,0.535219399538106
2,3,2024,0.548182342758223,0.552221581073283,0.566070398153491
3,3,2024,0.511829197922677,0.535487593768032,0.539526832083093
1,3,42,0.55080831408776,0.561778290993072,0.560046189376443
2,3,42,0.522792844777842,0.545874206578188,0.546451240623197
3,3,42,0.537218695903058,0.552221581073283,0.55799192152337
1,10,123,0.511583011583012,0.552123552123552,0.565637065637066
2,10,123,0.551923076923077,0.55,0.548076923076923
3,10,123,0.5626204238921,0.556840077071291,0.576107899807322
4,10,123,0.552986512524085,0.5626204238921,0.576107899807322
5,10,123,0.531791907514451,0.558766859344894,0.570327552986512
6,10,123,0.519230769230769,0.536538461538462,0.551923076923077
7,10,123,0.523076923076923,0.569230769230769,0.563461538461538
8,10,123,0.506717850287908,0.54126679462572,0.5489443378119
9,10,123,0.55278310940499,0.579654510556622,0.587332053742802
10,10,123,0.529750479846449,0.547024952015355,0.550863723608445
1,10,456,0.535508637236084,0.54126679462572,0.558541266794626
2,10,456,0.523076923076923,0.561538461538462,0.563461538461538
3,10,456,0.531791907514451,0.560693641618497,0.560693641618497
4,10,456,0.516441005802708,0.547388781431335,0.572533849129594
5,10,456,0.544230769230769,0.594230769230769,0.605769230769231
6,10,456,0.507692307692308,0.536538461538462,0.534615384615385
7,10,456,0.533718689788054,0.551059730250482,0.543352601156069
8,10,456,0.53742802303263,0.54126679462572,0.54510556621881
9,10,456,0.568138195777351,0.5489443378119,0.571976967370441
10,10,456,0.561538461538462,0.563461538461538,0.588461538461538
1,10,789,0.544230769230769,0.573076923076923,0.576923076923077
2,10,789,0.520153550863724,0.556621880998081,0.568138195777351
3,10,789,0.546153846153846,0.584615384615385,0.6
4,10,789,0.519305019305019,0.55019305019305,0.557915057915058
5,10,789,0.542307692307692,0.561538461538462,0.565384615384615
6,10,789,0.565384615384615,0.553846153846154,0.565384615384615
7,10,789,0.505769230769231,0.534615384615385,0.530769230769231
8,10,789,0.509615384615385,0.571153846153846,0.551923076923077
9,10,789,0.540540540540541,0.583011583011583,0.577220077220077
10,10,789,0.570057581573896,0.583493282149712,0.591170825335892
1,10,2024,0.55899419729207,0.568665377176016,0.586073500967118
2,10,2024,0.510597302504817,0.549132947976879,0.5626204238921
3,10,2024,0.507692307692308,0.526923076923077,0.534615384615385
4,10,2024,0.520153550863724,0.571976967370441,0.575815738963532
5,10,2024,0.544230769230769,0.617307692307692,0.603846153846154
6,10,2024,0.534615384615385,0.55,0.546153846153846
7,10,2024,0.564547206165703,0.579961464354528,0.591522157996146
8,10,2024,0.560460652591171,0.55278310940499,0.54126679462572
9,10,2024,0.522072936660269,0.535508637236084,0.547024952015355
10,10,2024,0.536538461538462,0.542307692307692,0.551923076923077
1,10,42,0.542471042471042,0.569498069498069,0.571428571428571
2,10,42,0.568400770712909,0.524084778420039,0.535645472061657
3,10,42,0.519305019305019,0.590733590733591,0.579150579150579
4,10,42,0.538461538461538,0.580769230769231,0.588461538461538
5,10,42,0.558541266794626,0.566218809980806,0.589251439539347
6,10,42,0.529750479846449,0.575815738963532,0.579654510556622
7,10,42,0.531791907514451,0.576107899807322,0.574181117533719
8,10,42,0.553846153846154,0.561538461538462,0.588461538461538
9,10,42,0.509578544061303,0.555555555555556,0.565134099616858
10,10,42,0.515384615384615,0.544230769230769,0.551923076923077
