"fold","rf_accuracy","rf_rmse","xgb_accuracy","xgb_rmse","nn_pick_accuracy","nn_pick_rmse"
1,0.673745173745174,0.657595949221429,0.658301158301158,0.693321700724116,0.673745173745174,0.657595949221429
2,0.709615384615385,0.653393508479444,0.690384615384615,0.643009749896173,0.709615384615385,0.653393508479444
3,0.658959537572254,0.709147497640938,0.647398843930636,0.723936998930182,0.658959537572254,0.709147497640938
4,0.672447013487476,0.652547992462073,0.676300578034682,0.67146634466898,0.672447013487476,0.652547992462073
5,0.701348747591522,0.642130365697698,0.685934489402698,0.662801899802273,0.701348747591522,0.642130365697698
6,0.667307692307692,0.651920240520265,0.638461538461538,0.694760611788195,0.667307692307692,0.651920240520265
7,0.669230769230769,0.679366220486757,0.655769230769231,0.705745650413039,0.669230769230769,0.679366220486757
8,0.666026871401152,0.675880033421417,0.669865642994242,0.668742768630069,0.666026871401152,0.675880033421417
9,0.698656429942418,0.622668395618496,0.685220729366603,0.637894810190177,0.698656429942418,0.622668395618496
10,0.667946257197697,0.694093534714754,0.662188099808061,0.682942712502638,0.667946257197697,0.694093534714754
